key,title,description,labels,priority,estimate,assignee,dependency
INT-001,Padronizar Telemetria & Audit Schema,"Definir e publicar JSON Schema/protobuf para eventos S1a–S4; adicionar validação no endpoint /telemetry/events; incluir campos obrigatórios: correlation_id, story_id, module, event_type; documentar sampling rules; adicionar validator no backend e fixtures de teste.",telemetry,High,5,team-lead,
INT-002,API de Audit Central `/core/audit/`,`Criar endpoint persistente para AuditEntries com schema canônico {actor_id, action, target_type, target_id, metadata, timestamp, correlation_id, story_id}; migrar FE para usá-lo; adicionar RBAC e indexação para queries rápidas.`,backend,High,8,backend-lead,INT-001
INT-003,Pipeline de Telemetria & Sampling,"Implementar ingest pipeline: POST /telemetry/events -> pub/sub -> processors (metrics -> Prometheus, logs/audit -> OpenSearch, analytics -> data lake); implantar sampling rules (raw snapshots 1%, full persist on decision != ACEITAR or error); criar runbooks." ,ops,High,13,ops-lead,INT-001
INT-004,LLM Telemetry + Circuit Breaker Metrics,"Adicionar eventos LLM: turn_success, turn_failed, invalid_llm_response, fallback_used, provider_circuit_open; capturar latência, retries, provider_id; hash prompts; alertas para thresholds; integrar com pipeline de telemetria." ,ai,High,8,ai-engineer,INT-003
INT-005,Sandbox Hardening e Executor Isolado,"Remover docker.sock dependency; criar executor serviço isolado (k8s Job/remote runner); aplicar limits CPU/RAM; implementar cleanup job e monitoramento de containers órfãos; testes de stress e segurança." ,infra,High,8,infra-lead,
FE-001,Ativar DashboardInsightModal + Audit Action,"Implementar modal `DashboardInsightModal`, SessionCard clicável; botão 'Registrar ação' que posta para /core/audit/ e emite S1a/S4 events; incluir breadcrumbs, badges, skeletons; E2E tests." ,frontend,High,5,frontend-lead,INT-002
QA-001,E2E Telemetry & Audit Tests,"Criar testes E2E que validam emissão e persistência de S1a/S2/S4; incluir fixtures e hooks para n8n webhook observer; integrar em pipeline staging." ,qa,Medium,3,qa-lead,FE-001
OPS-001,Observability: Prometheus + Grafana + OpenTelemetry,"Configurar métricas básicas (job duration, success rate), OpenTelemetry tracing, dashboards Grafana e alertas; instrumentar services and LLMConnector metrics; integrar with INT-003 pipeline." ,ops,Medium,8,ops-lead,INT-003
DOC-001,Documentar Telemetry Runbook & Workshop,"Criar runbook curto e material para workshop técnico (3h) cobrindo schema, sampling, audit usage and how to query audit DB; preparar slides e checklist." ,documentation,Medium,3,team-lead,INT-001
SEC-001,PII Handling & Hashing Policy,"Definir policy para hashing PII in telemetry (LLM prompts, snapshots); implement hashing library and apply in LLMConnector and Filament hooks; include retention rules." ,security,High,5,security-lead,INT-004
