Module,Event / Feature,Current State,D1,D2,D3,D4,D5,D6,D7,Filamento,Priority,Key Gaps / Observations,Next Steps / Minimal Action
Dashboard,AI Insight Modal,S1a partial,✓,partial,✓,partial,partial,partial,missing,AJUSTAR,High,"CTA inativo; sessions not clickable; S4 missing","Implement FE DashboardInsightModal + BE /core/dashboard/insights/; emit S1a + persist S4"
Dashboard,Sessions Recentes (cards),S1a partial,✓,partial,✓,partial,partial,partial,missing,AJUSTAR,High,"Cards not clickable; missing severity in payload","Enrich /cognition/sessions/ with {session_id,story_id,course_id,lesson_id,severity}; make cards clickable"
Alerts,Intervention Modal / Cards,S2 partial,✓,✓,✓,partial,partial,partial,missing,BLOQUEAR,High,"No modal/history; severity not persisted; no searchable S4","Add /alerts/<id> detail; POST /alerts/<id>/interventions/ writing S4; persist severity/context"
Courses,CRUD / CourseCard,S1a blocked,✓,partial,✓,partial,partial,partial,missing,AJUSTAR,High,"Creation/edit blocked; no audit on mutations","Implement POST/PUT/DELETE /api/v1/courses/ + S4 audit for mutations"
Course Detail,Enroll / Cohort,S1a partial,✓,✓,partial,partial,partial,partial,partial,AJUSTAR,High,"cohort_id not required in CTA; payment retry UX lacking","Add /courses/<id>/cohorts/ and enforce cohort_id on enroll; emit S1a with cohort_id"
Lesson Submission,SubmissionHistory / Streaming,S1a/S2 partial,✓,✓,✓,partial,partial,partial,missing,AJUSTAR,High,"No submission history UI; no SSE/WS streaming logs","Implement POST /submissions/, GET /submissions/?lesson_id=, and streaming /submissions/<id>/logs/stream; persist S4 history"
Materials,Upload / MaterialCard,S1a partial,✓,✓,✓,partial,partial,✓,partial,AJUSTAR,High,"Upload API incomplete; telemetry missing material_id/correlation_id","Implement /api/materials/ POST + background processing; emit S1a.upload_complete and S4.material_association; sample progress events"
AI Center,Sessions / Commands / Console,S1a/S2 partial,✓,✓,✓,partial,partial,✓,missing,AJUSTAR,High,"Logs not persisted; no command_id/session_id consistency; WS reconnection UX poor","Add POST /ai/sessions/, POST /ai/sessions/<id>/commands/; persist logs; emit S2/S3/S4; WS status UI + queue replay"
Billing,Subscriptions / Receipts,S1a partial,✓,✓,✓,partial,✓,✓,partial,AJUSTAR,Medium-High,"Billing view isolated; upgrade flow missing; webhooks incomplete","Implement /payments/subscriptions/, /payments/receipts/ endpoints; add BillingOverview UI; emit S1a/S3/S4"
Transversal,Telemetry & Audit,S0 → S1a (docs exist),✓,✓,✓,✓,✓,✓,missing,BLOQUEAR,High,"INT-001 schema present but contract tests/CI enforcement missing; audit service absent","Implement telemetry contract tests in CI; build append-only Audit Service (INT-002); enforce correlation_id in emits"
